"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.58776300,53.53658537,-32.86585366,7.01219512
4.60781900,65.97560976,-35.36585366,5.60975610
4.62788200,74.57317073,-40.97560976,7.31707317
4.64794900,71.64634146,-43.47560976,11.64634146
4.66803500,71.64634146,-41.15853659,17.01219512
4.68809100,87.56097561,-38.47560976,15.85365854
4.70815600,99.02439024,-42.31707317,9.75609756
4.72821500,93.29268293,-47.86585366,10.85365854
4.74827500,90.42682927,-46.82926829,18.41463415
4.76834200,98.10975610,-43.35365854,22.25609756
4.78845500,109.14634146,-37.31707317,15.42682927
4.80851800,127.25609756,-52.86585366,3.59756098
4.82858600,105.24390244,-49.87804878,15.54878049
4.84864700,90.54878049,-32.68292683,22.86585366
4.86871100,94.39024390,-20.30487805,15.79268293
4.88876800,102.62195122,-29.57317073,7.43902439
4.90882400,103.59756098,-50.06097561,4.20731707
4.92888200,81.95121951,-54.81707317,10.42682927
4.94893800,64.57317073,-37.07317073,12.13414634
4.96901500,65.79268293,-26.46341463,7.13414634
4.98907600,72.68292683,-25.18292683,2.50000000
5.00913900,77.86585366,-30.85365854,0.18292683
5.02919700,86.28048780,-44.02439024,3.41463415
5.04925800,88.53658537,-47.98780488,10.24390244
5.06932400,89.45121951,-41.82926829,12.19512195
5.08938100,95.85365854,-30.42682927,9.45121951
5.10945200,99.32926829,-20.06097561,4.32926829
5.12952200,98.71951220,-19.45121951,3.10975610
5.15149000,97.07317073,-21.28048780,5.06097561
5.17174900,96.15853659,-22.01219512,7.43902439
5.19182600,103.10975610,-16.89024390,10.79268293
5.21222500,106.82926829,-19.63414634,11.28048780
5.23229200,97.25609756,-19.32926829,2.25609756
5.25235600,80.67073171,-14.39024390,-8.17073171
5.27243500,71.34146341,-11.40243902,-10.54878049
5.29249100,73.04878049,-5.36585366,-7.01219512
5.31254800,79.87804878,2.62195122,-6.40243902
5.33260500,78.78048780,4.57317073,-10.73170732
5.35266000,75.12195122,0.48780488,-14.57317073
5.37271900,64.69512195,-4.26829268,-15.60975610
5.39277500,56.58536585,-7.07317073,-15.12195122
5.41283100,48.84146341,-2.07317073,-15.24390244
5.43289200,39.39024390,-0.24390244,-19.20731707
5.45295700,33.35365854,-3.53658537,-21.03658537
5.47301300,37.43902439,-10.85365854,-19.32926829
5.49306800,50.18292683,-7.50000000,-18.17073171
5.51312700,51.15853659,4.69512195,-19.63414634
5.53318400,42.50000000,15.54878049,-25.73170732
5.55324200,32.74390244,13.41463415,-31.34146341
5.57329900,34.51219512,5.60975610,-29.93902439
5.59335700,45.79268293,0.85365854,-24.51219512
