"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.33281700,-2.85297173,-0.08616358,9.44448528
3.35287800,-2.24982670,-0.97652053,8.99930680
3.37294400,-2.24982670,-1.38340408,9.08547038
3.39301100,-2.27376103,-1.50307571,9.12376530
3.41306800,-2.43172758,-1.79028763,9.49714079
3.43312300,-2.36949833,-2.12536820,9.55937004
3.45321900,-2.10143388,-2.14451566,8.70252115
3.47327600,-1.74241898,-2.69979204,8.30999820
3.49333200,-1.39776467,-3.66195197,8.46796475
3.51338800,-1.40733840,-4.17893342,8.70252115
3.53344400,-1.91953299,-3.42260870,8.54934146
3.55351100,-2.12058134,-3.54228034,8.61635758
3.57356800,-1.46956765,-4.80601278,8.29563760
3.59362500,-0.98130739,-5.72987779,7.87918032
3.61368100,-1.45520706,-5.22725693,7.35741200
3.63373900,-2.02484403,-4.95919247,7.82173793
3.65380300,-1.80943509,-6.25643297,8.61635758
3.67386100,-1.21107693,-7.06062635,7.51537855
3.69391800,-1.32596169,-6.73990637,6.49577624
3.71397500,-1.21107693,-7.36219886,6.91223352
3.73403300,-1.15842141,-7.28560902,6.47184191
3.75409400,-1.47435452,-7.27124842,6.50534997
3.77416700,-1.75677957,-7.74993495,7.05105262
3.79438100,-1.91953299,-8.17596597,7.39092005
3.81443900,-1.64668167,-8.01321255,6.73511951
3.83449500,-1.60359988,-7.78344301,6.25643297
3.85458300,-1.65146854,-8.05150747,6.37131774
3.87464000,-2.11579447,-8.08980239,6.88351233
3.89469600,-2.80510308,-7.33826454,7.07020008
3.91475200,-2.72851323,-7.69727943,7.25210096
3.93480800,-2.56575981,-7.48187050,6.53885803
3.95487800,-2.37907206,-7.61590272,6.09367955
3.97493700,-2.45566191,-7.66855824,5.99315538
3.99499800,-2.90084038,-7.53931288,6.36174401
4.02606900,-3.06359380,-7.44357557,6.36174401
4.04613000,-3.06838067,-7.57282094,6.32344909
4.06618800,-2.86733233,-7.55846034,5.98358165
4.08624700,-2.51789116,-7.58239467,5.13630649
4.10630600,-2.62798906,-7.99406508,5.53840318
4.12636200,-3.34123199,-7.79780361,6.43354699
4.14641800,-4.00660627,-7.22816663,6.87872546
4.16647500,-3.84385285,-7.11328187,6.80692249
4.18653700,-3.33644513,-7.43878871,6.02187657
4.20659500,-3.33165826,-7.29996961,5.76817271
4.22665300,-3.80555793,-7.10849500,6.14633507
4.24670900,-4.39912923,-6.77341443,6.81170935
4.26677400,-4.67676742,-6.86436487,7.22337977
4.28683200,-4.83952084,-7.11806873,7.17551111
4.30689100,-5.02142172,-7.41964125,7.19465858
4.32694800,-5.29905991,-7.33347767,7.38134632
4.34700600,-5.30863364,-7.41006752,7.58239467
4.36706800,-5.28948618,-7.44836244,7.69727943
4.38713100,-5.42830527,-7.38613319,7.72121376
4.40719500,-5.32778110,-7.14678992,7.37177259
4.42726800,-4.84430770,-6.91223352,6.42876012
4.44732500,-4.41348983,-7.02711829,6.14633507
4.46741400,-4.09276985,-7.15157679,6.63459533
4.48747000,-4.15499910,-6.71118518,7.15157679
4.50752700,-4.04490120,-5.92613927,7.14678992
4.52758300,-4.07362239,-5.64850108,7.50101796
4.54763900,-4.26988387,-4.99270053,7.75472182
4.56770600,-4.36083431,-4.62889876,7.78344301
4.58776300,-4.20765462,-4.82994711,8.24776895
4.60781900,-4.33689998,-4.95919247,8.91314323
4.62788200,-4.57624325,-4.14542537,8.42966983
4.64794900,-4.60496444,-3.10667559,7.79301674
4.66803500,-4.00660627,-3.74332868,8.61157071
4.68809100,-3.44175617,-4.45657161,9.44927214
4.70815600,-3.64280451,-3.69067316,9.13812590
4.72821500,-4.11191731,-1.95304105,8.30521133
4.74827500,-3.77683674,-2.14451566,8.81261905
4.76834200,-3.09231500,-2.70936577,9.03281486
4.78845500,-2.56097295,-3.36037945,9.86094256
4.80851800,-2.75244756,-2.77638189,10.24389178
4.82858600,-3.54228034,-0.08137671,8.64986563
4.84864700,-3.48962482,1.53658377,7.45314930
4.86871100,-2.35513774,0.09573731,8.64029190
4.88876800,-2.02005717,-0.64143995,10.10507269
4.90882400,-2.46523564,-0.11488477,10.62684101
4.92888200,-2.82425054,1.45999392,9.24822380
4.94893800,-2.49395683,3.00136456,7.78344301
4.96901500,-1.68018973,1.98176224,8.42488296
4.98907600,-1.55094436,1.36425662,9.68382854
5.00913900,-1.77114017,1.74241898,9.97104046
5.02919700,-1.96261478,2.22589237,10.15294134
5.04925800,-2.05356522,3.03965948,9.59287810
5.06932400,-1.66104227,3.61408332,8.75996354
5.08938100,-1.03874977,3.25028155,8.75038981
5.10945200,-0.53612892,3.04923321,8.68816056
5.12952200,-0.66537428,3.45611676,8.64986563
5.15149000,-1.10097902,4.63368563,8.16160537
5.17174900,-0.85684889,4.82037338,8.30521133
