"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.99499800,-6.88749981,68.78749847,62.76250076
4.02606900,-6.38124990,69.73750305,63.12500000
4.04613000,-5.81874990,69.79374695,63.20000076
4.06618800,-5.41874981,70.19374847,62.81874847
4.08624700,-5.00624990,70.76875305,63.18125153
4.10630600,-4.95625019,71.25000000,62.81250000
4.12636200,-5.08750010,71.78749847,62.82500076
4.14641800,-4.76875019,72.10624695,62.35625076
4.16647500,-4.83750010,72.24375153,62.25624847
4.18653700,-4.45625019,72.47499847,62.82500076
4.20659500,-4.80000019,72.55000305,61.81874847
4.22665300,-4.63749981,73.24375153,62.07500076
4.24670900,-4.53749990,73.58750153,62.29999924
4.26677400,-4.26249981,73.73124695,62.04375076
4.28683200,-3.55625010,74.03125000,61.81250000
4.30689100,-3.24375010,74.07499695,61.95000076
4.32694800,-2.75624990,73.82499695,62.31874847
4.34700600,-1.79999995,73.98750305,62.34999847
4.36706800,-0.49375001,74.02500153,62.95624924
4.38713100,0.23750000,73.50000000,63.32500076
4.40719500,1.54375005,73.02500153,64.15000153
4.42726800,2.90625000,72.84375000,64.58750153
4.44732500,4.59375000,71.91249847,64.49375153
4.46741400,5.99375010,71.09999847,64.36250305
4.48747000,7.36250019,71.10624695,64.65000153
4.50752700,8.30624962,70.78125000,65.59375000
4.52758300,9.18750000,70.94374847,66.23750305
4.54763900,9.81875038,70.08750153,66.01249695
4.56770600,9.81875038,70.08750153,66.01249695
4.58776300,12.56250000,68.67500305,66.90625000
4.60781900,13.71249962,68.58750153,66.65625000
4.62788200,15.19999981,67.54374695,66.94374847
4.64794900,16.23125076,67.37500000,67.15000153
4.66803500,17.49374962,66.60624695,67.52500153
4.68809100,19.39374924,65.78125000,66.76249695
4.70815600,20.61874962,65.02500153,67.31874847
4.72821500,21.88125038,64.03125000,66.43125153
4.74827500,23.33749962,63.81250000,65.99375153
4.76834200,25.01250076,62.94374847,65.87500000
4.78845500,27.13125038,62.29375076,65.13124847
4.80851800,29.02499962,61.38124847,64.75000000
4.82858600,30.49374962,60.99375153,63.95624924
4.84864700,31.69375038,60.57500076,63.73749924
4.86871100,33.28749847,59.43125153,62.83750153
4.88876800,34.69374847,59.58124924,62.12500000
